order_id,order_date,customer_id,product_name,category,quantity,unit_price,total_amount,region,status
ORD-20341,2025-06-01,CUST-1019,"Heavy Duty Paper Shredder",Office Supplies,6,129.99,779.94,West,Completed
ORD-20343,2025-06-01,CUST-1007,"Quantum LED Monitor",Electronics,8,349.99,2799.92,South,Completed
ORD-20346,2025-06-01,CUST-1014,"USB-C Dual Docking Station",Electronics,7,89.99,629.93,East,Completed
ORD-20349,2025-06-01,CUST-1021,"Mechanical Gaming Keyboard",Electronics,6,119.99,719.94,West,Completed
ORD-20344,2025-06-04,CUST-1001,"High-Capacity Power Strip",Office Supplies,5,29.99,149.95,North,Completed
ORD-20352,2025-06-10,CUST-1003,"4K Ultra-HD Webcam",Electronics,5,79.99,399.95,North,Completed
ORD-20347,2025-06-13,CUST-1008,"Premium Notebook & Pen Set",Office Supplies,4,24.99,99.96,South,Completed
ORD-20342,2025-06-16,CUST-1013,"Minimalist Floating Shelf",Furniture,3,39.99,119.97,East,Completed
ORD-20355,2025-06-19,CUST-1010,"Ergonomic Mesh Task Chair",Office Supplies,4,199.99,799.96,South,Completed
ORD-20350,2025-06-22,CUST-1015,"Solid Oak Bookcase",Furniture,3,299.99,899.97,East,Completed
ORD-20345,2025-06-25,CUST-1020,"Executive Wool Blazer",Apparel,2,189.99,379.98,West,Pending
ORD-20358,2025-06-28,CUST-1017,"Dual Motor Standing Desk",Office Supplies,3,499.99,1499.97,East,Completed
ORD-20353,2025-07-01,CUST-1022,"Comfort Recliner Chair",Furniture,2,399.99,799.98,West,Completed
ORD-20348,2025-07-04,CUST-1002,"Comfort Fit Cotton Chinos",Apparel,1,59.99,59.99,North,Completed
ORD-20361,2025-07-08,CUST-1024,"Heavy Duty Paper Shredder",Office Supplies,2,129.99,259.98,West,Completed
ORD-20356,2025-07-10,CUST-1004,"Glass Coffee Table",Furniture,1,179.99,179.99,North,Completed
ORD-20351,2025-07-13,CUST-1009,"All-Weather Leather Boots",Apparel,8,129.99,1039.92,South,Pending
ORD-20369,2025-07-14,CUST-1001,"Mechanical Gaming Keyboard",Electronics,2,119.99,239.98,West,Cancelled
ORD-20364,2025-07-17,CUST-1006,"High-Capacity Power Strip",Office Supplies,1,29.99,29.99,North,Completed
ORD-20359,2025-07-20,CUST-1011,"3-Drawer File Cabinet",Furniture,8,149.99,1199.92,South,Completed
ORD-20354,2025-07-22,CUST-1016,"Stainless Steel Dress Watch",Apparel,7,149.99,1049.93,East,Completed
ORD-20372,2025-07-23,CUST-1008,"4K Ultra-HD Webcam",Electronics,1,79.99,79.99,North,Completed
ORD-20367,2025-07-26,CUST-1013,"Premium Notebook & Pen Set",Office Supplies,8,24.99,199.92,South,Completed
ORD-20362,2025-07-29,CUST-1018,"Minimalist Floating Shelf",Furniture,7,39.99,279.93,East,Completed
ORD-20357,2025-08-01,CUST-1023,"Packable Travel Raincoat",Apparel,6,89.99,539.94,West,Pending
ORD-20375,2025-08-01,CUST-1015,"Ergonomic Mesh Task Chair",Office Supplies,8,199.99,1599.92,South,Cancelled
ORD-20370,2025-08-04,CUST-1020,"Solid Oak Bookcase",Furniture,7,299.99,2099.93,East,Completed
ORD-20365,2025-08-07,CUST-1000,"Executive Wool Blazer",Apparel,6,189.99,1139.94,West,Completed
ORD-20360,2025-08-10,CUST-1005,"Pro Wireless Headphones",Electronics,5,149.99,749.95,North,Completed
ORD-20378,2025-08-10,CUST-1022,"Dual Motor Standing Desk",Office Supplies,7,499.99,3499.93,East,Completed
ORD-20373,2025-08-13,CUST-1002,"Comfort Recliner Chair",Furniture,6,399.99,2399.94,West,Completed
ORD-20368,2025-08-16,CUST-1007,"Comfort Fit Cotton Chinos",Apparel,5,59.99,299.95,North,Pending
ORD-20363,2025-08-19,CUST-1012,"Quantum LED Monitor",Electronics,4,349.99,1399.96,South,Cancelled
ORD-20381,2025-08-19,CUST-1004,"Heavy Duty Paper Shredder",Office Supplies,6,129.99,779.94,West,Cancelled
ORD-20376,2025-08-22,CUST-1009,"Glass Coffee Table",Furniture,5,179.99,899.95,North,Completed
ORD-20371,2025-08-25,CUST-1014,"All-Weather Leather Boots",Apparel,4,129.99,519.96,South,Completed
ORD-20366,2025-08-28,CUST-1019,"USB-C Dual Docking Station",Electronics,3,89.99,269.97,East,Completed
ORD-20384,2025-08-29,CUST-1011,"High-Capacity Power Strip",Office Supplies,5,29.99,149.95,North,Completed
